Film_title,Release_year,Director,Cast,Average_rating,Owner_rating,Genres,Runtime,Countries,Original_language,Spoken_languages,Studios,Watches,List_appearances,Likes,Fans,½,★,★½,★★,★★½,★★★,★★★½,★★★★,★★★★½,★★★★★,Total_ratings,Film_URL,List_URL
A Trip to the Moon,1902,Georges Méliès,"['Georges Méliès', 'Bleuette Bernon', 'François Lallement', 'Henri Delannoy', 'Victor André', 'Brunnet', 'Depierre', 'Farjaut', 'Kelm', ""Jehanne d'Alcy"", 'Jules-Eugène Legris']",3.99,nan,"['Science Fiction', 'Adventure']",15,['France'],No spoken language,['No spoken language'],['Star-Film'],365125,45140,78384,326,544,1097,743,3567,4246,21891,20919,57768,13776,38332,162883,https://letterboxd.com/film/a-trip-to-the-moon/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
The Great Train Robbery,1903,Edwin S. Porter,"['Gilbert M. Anderson', 'John Manus Dougherty Sr.', 'Frank Hanaway', 'Adam Charles Hayman', 'Robert Milasch', 'Marie Murray', 'Mary Snow', 'A.C. Abadie', 'Walter Cameron', 'Donald Gallaher', 'Shadrack E. Graham', 'George Barnes', 'Morgan Jones', 'Justus D. Barnes']",3.54,nan,"['Crime', 'Action', 'Western', 'Adventure']",12,['USA'],No spoken language,['No spoken language'],['Edison Studios'],101668,17757,14266,16,118,376,347,1649,2470,11120,8714,9671,1667,3515,39647,https://letterboxd.com/film/the-great-train-robbery/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
The Birth of a Nation,1915,D.W. Griffith,"['Henry B. Walthall', 'Lillian Gish', 'Miriam Cooper', 'Mae Marsh', 'Mary Alden', 'Ralph Lewis', 'George Siegmann', 'Walter Long', 'Joseph Henabery', 'Wallace Reid', 'Elmer Clifton', 'Josephine Crowell', 'Spottiswoode Aitken', 'George Beranger', 'Maxfield Stanley', 'Jennie Lee', 'Donald Crisp', 'Howard Gaye', 'Sam De Grasse', 'William De Vaull', 'Willam Freeman', 'Tom Wilson', 'Fred Burns', 'Allan Sears', 'Elmo Lincoln', 'Madame Sul-Te-Wan', 'Raoul Walsh', 'Robert Harron', 'Monte Blue', 'Harry Braham', 'Bob Burns', 'Edmund Burns', 'Edward Burns', 'Peggy Cartwright', 'Dark Cloud', 'Leonore Cooper', 'Charles Eagle Eye', 'John Ford', 'Olga Grey', 'Alberta Lee', 'Betty Marsh', 'Donna Montran', 'Eugene Pallette', 'Alma Rubens', 'Charles Stevens', 'Jules White', 'Violet Wilkey', 'David Butler']",2.36,nan,"['Drama', 'History', 'War']",193,['USA'],No spoken language,['No spoken language'],['Epoch Film Co.'],59918,22510,2958,67,6338,3296,1258,2756,2198,3523,1957,2492,754,1455,26027,https://letterboxd.com/film/the-birth-of-a-nation/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
"The Vampires or, The Arch Criminals of Paris",1915,Louis Feuillade,"['Jean Aymé', 'Édouard Mathé', 'Marcel Lévesque', 'Théodore Thalès', 'Rita Herlor', 'Florense Simoni', 'Stacia Napierkowska', 'Louis Leubas', 'Musidora', 'Fernand Herrmann', 'Paula Maxa', 'Émile Keppens', 'Breon', 'Gaston Michel', 'René Poyen', 'Frédéric Moriss', 'Jeanne Marie-Laurent', 'Louise Lagrange', 'Suzanne Le Bret', 'Germaine Rouer', 'Faraboni', 'Georgette Faraboni']",3.86,nan,"['Drama', 'Thriller']",422,['France'],No spoken language,['No spoken language'],['Gaumont'],13283,12391,3499,44,22,48,51,185,274,1040,1216,2063,882,1089,6870,https://letterboxd.com/film/the-vampires-or-the-arch-criminals-of-paris/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
Intolerance: Love's Struggle Throughout the Ages,1916,D.W. Griffith,"['Lillian Gish', 'Mae Marsh', 'Robert Harron', 'F.A. Turner', 'Sam De Grasse', 'Vera Lewis', 'Lillian Langdon', 'Olga Grey', 'Erich von Ritzau', 'Bessie Love', 'Margery Wilson', 'Eugene Pallette', 'Spottiswoode Aitken', 'Ruth Handforth', 'Elmer Clifton', 'Seena Owen', 'Carl Stockdale', 'Mary Alden', 'Pearl Elmore', 'Julia Mackley', 'Miriam Cooper', 'Walter Long', 'Tom Wilson', 'Ralph Lewis', 'Lloyd Ingraham', 'John P. McCarthy', 'Monte Blue', 'Marguerite Marsh', 'Edward Dillon', 'Billy Quirk', 'Howard Gaye', 'William H. Brown', 'George Walsh', 'W.S. Van Dyke', 'Allan Sears', 'Frank Bennett', 'Maxfield Stanley', 'Josephine Crowell', 'Constance  Talmadge', 'W.E. Lawrence', 'Joseph Henabery', 'Chandler House', 'Alfred Paget', 'Tully Marshall', 'Dore Davidson', 'Taylor N. Duncan', 'Owen Moore', 'Frank Borzage', 'Karl Brown', 'Frank Campeau', 'Constance Collier', 'Donald Crisp', 'Nigel De Brulier', 'Clarence Geldart', 'Dell Henderson', 'Russell Hicks', 'DeWolf Hopper Sr.', 'Wilfred Lucas', 'Francis McDonald', 'Vester Pegg', 'Herbert Sutch', 'Herbert Beerbohm Tree', 'King Vidor', 'Hal Wilson', 'Tammany Young', 'Sylvia Ashton', 'Jennie Lee', 'George Beranger', 'Kitty Bradbury', 'Tod Browning', 'Frank Brownlee', 'Kate Bruce', 'Edward Burns', 'Noble Johnson', 'George Fawcett', 'Jewel Carmen', 'Carol Dempster', 'Mildred Harris', 'Daisy Jefferson', 'Carmel Myers', 'Eve Southern', 'Pauline Starke', 'Natalie Talmadge', 'Ethel Grey Terry', 'Francis Carpenter', 'Virginia Lee Corbin', 'Peggy Cartwright', 'Gino Corrado', 'William Courtright', 'Erich von Stroheim', 'Max Davidson', 'Douglas Fairbanks', 'Julia Faye', 'Clyde E. Hopkins', 'Alberta Lee', 'Elmo Lincoln', ""Loyola O'Connor"", 'Wallace Reid', 'Alma Rubens', 'Madame Sul-Te-Wan', 'Ruth Darling', 'George Siegmann', 'Raymond Wells', 'Winifred Westover', 'David Butler']",3.68,nan,"['History', 'Drama']",197,['USA'],No spoken language,['No spoken language'],"['Triangle Film Corporation', 'Wark Producing Corp.']",29680,24951,4774,78,213,347,300,1011,933,2368,2278,3490,1744,2720,15404,https://letterboxd.com/film/intolerance-loves-struggle-throughout-the-ages/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
Broken Blossoms,1919,D.W. Griffith,"['Lillian Gish', 'Richard Barthelmess', 'Donald Crisp', 'Arthur Howard', 'Edward Peil Sr.', 'George Beranger', 'Norman Selby']",3.45,nan,"['Romance', 'Drama']",89,['USA'],English,"['English', 'No spoken language']","['D.W. Griffith Productions', 'United Artists']",20071,13761,3048,14,184,268,252,752,934,2252,2045,2325,802,853,10667,https://letterboxd.com/film/broken-blossoms-1919/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
Within Our Gates,1920,Oscar Micheaux,"['Evelyn Preer', 'Flo Clements', 'James D. Ruffin', 'Jack Chenault', 'Charles D. Lucas', 'Bernice Ladd', 'Mrs. Evelyn', 'William Starks', 'Mattie Edwards', 'E.G. Tatum', 'Grant Edwards', 'Grant Gorman', 'William Smith', 'Ralph Johnson', 'Leigh Whipper', 'Jimmie Cook', 'S.T. Jacks']",3.44,nan,"['Romance', 'Drama', 'Crime']",74,['USA'],No spoken language,['No spoken language'],['Micheaux Book & Film Company'],13883,9818,2589,6,27,97,115,401,652,2106,1788,1830,419,371,7806,https://letterboxd.com/film/within-our-gates/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
The Cabinet of Dr. Caligari,1920,Robert Wiene,"['Werner Krauß', 'Conrad Veidt', 'Friedrich Fehér', 'Lil Dagover', 'Hans Heinrich von Twardowski', 'Rudolf Lettinger', 'Henri Peters-Arnolds', 'Rudolf Klein-Rogge', 'Hans Lanser-Rudolf', 'Ludwig Rex', 'Elsa Wagner']",4.07,4,"['Crime', 'Drama', 'Thriller', 'Horror']",78,['Germany'],No spoken language,['No spoken language'],['Decla Film Gesellschaft Holz & Co.'],229063,82380,66117,1800,275,551,526,2278,2968,13264,18191,45921,19122,29583,132679,https://letterboxd.com/film/the-cabinet-of-dr-caligari-1920/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
Way Down East,1920,D.W. Griffith,"['Lillian Gish', 'Richard Barthelmess', 'Lowell Sherman', 'Burr McIntosh', 'Kate Bruce', 'Mrs. David Landau', 'Josephine Bernard', 'Mrs. Morgan Belmont', 'Patricia Fruen', 'Florence Short', 'Vivia Ogden', 'Porter Strong', 'George Neville', 'Edgar Nelson', 'Mary Hay', 'Creighton Hale', 'Emily Fitzroy', 'Carol Dempster', 'Louise Lawson', 'Athole Shearer', 'Edith Shearer', 'Norma Shearer', 'Frank Walsh']",3.65,nan,"['Romance', 'Drama']",150,['USA'],No spoken language,['No spoken language'],"['D.W. Griffith Productions', 'United Artists']",7616,7027,1411,17,17,48,57,216,274,763,906,1083,390,417,4171,https://letterboxd.com/film/way-down-east/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
The Phantom Carriage,1921,Victor Sjöström,"['Victor Sjöström', 'Hilda Borgström', 'Tore Svennberg', 'Astrid Holm', 'Concordia Selander', 'Lisa Lundholm', 'Tor Weijden', 'Einar Axelsson', 'Olof Ås', 'Nils Aréhn', 'Simon Lindstrand', 'Nils Elffors', 'Algot Gunnarsson', 'Hildur Lithman', 'John Ekman', 'Edvin Adolphson', 'Elof Ahrle', 'Emmy Albiin', 'Anna-Lisa Baude', 'Josua Bengtson', 'Helga Brofeldt', 'Julia Cæsar', 'Mona Geijer-Falkner', 'Carl Harald', 'Arthur Natorp', 'Fridolf Rhudin', 'Signe Wirff']",4.07,nan,"['Fantasy', 'Drama', 'Horror']",106,['Sweden'],No spoken language,['No spoken language'],['SF Studios'],36987,30761,10490,156,28,66,94,385,516,2325,3405,7602,4198,4322,22941,https://letterboxd.com/film/the-phantom-carriage/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
